timestamp,prompt,prompt_version,model,latency_ms,total_tokens
2025-11-07T18:58:29.538228+00:00,LLMOps가 뭐야?,v1,gpt-4o-mini,6036,156
2025-11-07T18:59:04.580622+00:00,LLMOps가 뭐야?,v1,gpt-4o-mini,2809,145
2025-11-07T18:59:10.396753+00:00,한국어 RAG 구축하려면?,v1,gpt-4o-mini,5813,367
2025-11-07T18:59:15.211245+00:00,프롬프트 엔지니어링 팁 알려줘.,v1,gpt-4o-mini,4813,237
2025-11-07T18:59:20.022178+00:00,Latency 최적화 전략 소개해줘.,v2,gpt-4o-mini,4810,319
2025-11-07T18:59:23.158743+00:00,토큰 사용량 모니터링은 어떻게 해?,v2,gpt-4o-mini,3135,227
2025-11-07T18:59:27.130051+00:00,LLMOps 파이프라인의 핵심 단계는?,v2,gpt-4o-mini,3970,267
